,tweets_VB
27,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/aiUWqODkf8
28,"Si a usted le da zika, dengue, o chikungunya puede culparse a usted mismo a los vecinos que dejaron criaderos de mosquitos."
29,"Protege a tu bebé de cualquier picadura de mosquitos, Dengue o Zika, con las Toallitas Anti-mosquitos de #Pigeon. https://t.co/FAL8ZWcMFd"
30,Venezolanos a merced de un mosquito y algo mas... https://t.co/9kyj1PwpqH ademas de un gobierno fracasado #Zika https://t.co/8aIe4J8xEN
31,"Llamado a proteger a los ancianos ante el zika, especialmente si hay enfermedades crónicas https://t.co/H78W4Bg0gM https://t.co/C2TsmFH831"
32,Cuida a tu bebé usando repelente para mosquitos. Conoce más acerca del Zika. https://t.co/cgqnWwc25K
33,Voy a salir con zika y chikungunya con tantos mosquitos que hay en la uprp
34,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/25YBjBs7Vh https://t.co/lEvYBKz3LK
35,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/ubhlefEjTy
36,Protege a tu familia del mosquito transmisor del #Zika con @Radarcan https://t.co/LRPsefwYYA https://t.co/HgCfZJ6rPL
37,Todos a prevenir el #ZIKA para protegernos y a nuestras familias https://t.co/0Ml5KT5Gkr
38,"Exhortan a participar en el combate del mosquito transmisor del dengue, chikungunya y zika https://t.co/LYn7Ty6IoT @Dimaxtv"
39,"EXHORTAN A PARTICIPAR EN EL COMBATE DEL MOSQUITO DEL DENGUE, CHIKUNGUNYA Y ZIKA https://t.co/c1RwTB9Pea vía @El+https://t.co/C0qgGQpLsr"
40,"Exhortan a participar en el combate del mosquito transmisor del Dengue, Chikungunya y Zika https://t.co/pykEyb5uL3 https://t.co/lpcVqrHd0O"
41,Ya me imagino a los mosquitos del zika picándote  y dejándote un mensaje con labial en el baño.
42,Tengo a mil mosquitos revoloteándome y no estoy haciendo nada al respecto zika y dengue ya los 100tooo
43,Ya a 5 familiares les ha dado el Zika y ando paranoico con los mosquitos
44,@DavisZone  Brasil combatira el zika con millones de mosquitos machos esterilizados mediante radiación para que se apareen con hembras
45,si me pica el mosquito del zika voy a estar todo el dia cantando  rasca  zika  rasca zika zika  nanananananaaaaaaa
46,"hoy me picaron tres mosquitos en montevideo, dengue/zika/chikungunya ya te siento"
47,"Reconocen a 10 escuelas como espacios libres de criaderos del mosquito transmisor de Zika, Dengue y Chikungunya. 8.40 am en @MasNoticiasVer"
48,"mamá me dijo hoy, recomiendan dormir con ventilador por los mosquitos con todo ésto del zika,"
49,Estoy a punto de traer el mosquito transmisor de zika y dejarle al lado de mi compañera de trabajo les juro
50,"Solo a mí me pueden picar mosquitos en el parpado! 3! Serán dengue, zika y chilunguña? 😱"
51,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/1634cALnob
52,Protegerán a embarazadas con repelente contra el #Zika en #Morelos   https://t.co/tPRFnGnsfy
53,"Cuida a tu familia, la picadura del mosquito que transmite el #Zika, debe tratarse inmediatamente. https://t.co/F1psy6BpoD"
54,"Empiezo a creer que tengo la cura del zika, mil mosquitos me pican y solo para romperme los huevos"
55,"Viajas a algún país afectado por el #Zika? Protégete con Normopic, tu barrera frente al #mosquito portador del virus https://t.co/xzuVcW5VgJ"
56,"Si a una persona le pica un mosquito con Zika, uno con Chikungunya y uno con Denge, se crearia el Zikangunyengue? 😕"
57,gente me pico un mosquito en EL MEDIO DE LA FRENTE ya 100to el zika fluyendo por mis venas
58,Get Our Repellent &amp; Lose Your Bugs ....Now! #noseeums #mosquito #zika #bestrepellent #bmrtg https://t.co/g0LWQfynvj
59,Tucumán A las 7 Secretaría de Salud pide reforzar prevención ante proliferación del mosquito de zika… https://t.co/sCr9CTA108
60,Preocupa a diputados que el calor genere propagación del mosquito del Zika - EosNoticias: https://t.co/chwStrecqK
61,"Ya me dio dengue y chikungunya.. Ahora tengo los síntomas del zika, los mosquitos me odian😭😷😷"
62,Vengo a contar que tengo una roncha del tamaño de mi dedo pulgar y seguro me pico un mosquito con zika.
63,Catch 22 Zika Mosquitos #CurrentEventAStory
64,"Únete a la #Zikatrón. Si vives o viajas a una zona afectada por el zika, protégete del mosquito y usa condón en tus relaciones sexuales"
65,Enseñe a sus hijos que las picaduras de mosquitos son malas con el libro de actividades de los CDC sobre #Zika. https://t.co/rkMNkIlMsq
66,Proteja a sus niños de las picaduras de mosquitos con repelentes aprobados por la EPA: https://t.co/rHHpF37VDr #Zika https://t.co/SndQv4Chxx
67,"Preguntan a 1 regatista español q compite en los juegos sobre zika y responde'somos más peligrosas las brasileñas,q los mosquitos' crack!!"
68,—¿Qué me harías si estuviera desnuda en tu cama? 😏  —Te cubriría con mi mantita para que no te pique un mosquito y te de Zika princesa.  - 😒
69,"fui a las barrancas y me comieron los mosquitos , con la liga que tengo me agarro zika"
70,EXHORTAN A POBLACIÓN A ESTAR ALERTA ANTE POSIBLE DE MOSQUITOS #Lluvia #Salud #Zika #NotiRey… https://t.co/wWrWjsvniy https://t.co/KGD1b2yay8
71,Van a liberar mosquitos modif genéticamente para combatir el zika en los Estados Unidos https://t.co/PgujBdeXop
72,Ya me picaron tantos mosquitos que seguro tengo dengue zika y chikunguya
73,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
74,Check out this site: http://t.co/ihTnERKDNU. El Virus Zika es una amenaza real para los dominicanos. Cuidado con el mosquito Aedes Aegypti.
75,Viajará a regiones tropicales este verano? Aquí algunos consejos útiles pa' protegerse contra los mosquitos y #Zika. https://t.co/jfjhdngG3C
76,Ya me jodi si los mosquitos tienen zika en la uni
77,Someterán a referéndum uso de mosquito transgénico para combatir el vector del Zika https://t.co/SNL8rwCPL9
78,Solo a mi se me ocurre calcar el mosquito del zika y que me quede como una cucaracha 😈😂
79,cuando me pica un mosquito me recorro toda la casa buscandolo a ver si no tiene manchas blancas y es el dengue o zica porque TRAUMADA
80,"Si a mi esposa la pica el mosquito del zika, me sale un hijo zikario?"
81,hoy me picó un mosquito ojalá sea karma por lo que dije ayer y me muera de zika
82,"Protege a tu familia del #zika, #chikungunya y del #dengue con este #repelente natural contra mosquitos. Combina... https://t.co/jCkCpuBcBz"
83,"grave no son los huertos si no la mentira,no hay agua,con una epidemia de zika,dengue,chikunguya a criar mosquitos https://t.co/C2CqxcceYm"
84,Voy a llegar a casa con el zika si siguen los mosquitos así
85,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
86,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. https://t.co/Ap3EHkZfR3
87,"Voy a empezar a criar mosquitos con dengue, zika y chikungunya. Me tienen harto los vecinos con la cumbia y la mordidita y toda esa mierda."
88,Ya me gozaron mas de 20 mosquitos ahora hay que ver si es dengue o zika...
89,"Todos a combatir al mosquito portador del Dengue, Chicungunya y Zika. #TachiraNoEsTerrorismo https://t.co/lKwjDb6qdO"
90,Voy a importar el repelente para mosquitos con zika #IdeaMillonaria
91,Llega a Chile mosquito que transmite el zika https://t.co/HwSqpZxdST
92,"Protege a tu familia de enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/bXvKddIKCs"
93,exhorta a continuar eliminando criaderos de mosquitos https://t.co/JoDw845APE https://t.co/A4jgDUTxSk
94,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
95,Sobreviví a todos los mosquitos menos al zika 😭😭😭😭
96,"ZIKA  a si se llama el nuevo mosquito , a cuidarnos gente."
97,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/awVZk8GwQ8
98,"Todos a cumplir con estas acciones para la prevención del mosquito transmisor del dengue, chinconguya y zika.... https://t.co/v2k3KCpWIO"
99,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/nyVmJsqYPU https://t.co/fQPOOcLVJK"
100,"Combate a Zika, Dengue y Chikungunya para proteger a familias de Centro https://t.co/GbOgFBMO6M vía @sinremitente21 @NoheliCerino"
101,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya https://t.co/pzymWPysCX
102,Únete a la Jornada de Eliminación de Criaderos del Mosquito #AedesAegypti en tu comunidad.#Zika #Dengue #Chikungunya
103,Chicos me picó un mosquito y tengo todo el brazo dormido seguro es el zika bamosss
104,Únanse a la campaña de prevención del ZIKA. Eliminen los criaderos de mosquitos #TodosContraElZika 💪 https://t.co/1rUiVfTcHo
105,se me acerca un mosquito y ya me desespero porque pienso que es dengue zika y todo junto
106,"Voy a llamar a la oficina,  decirles que estoy con anginas, que me picó el mosquito del Zika y pego alto faltazo♫"
107,"Pese a hallazgo de mosquito, Virus Zika no representa aún un riesgo en Chile Continental https://t.co/H9QK1L1my1 https://t.co/2RtuPz1pVK"
108,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/E8vBDDLKmC
109,"Casa a casa fumigamos para eliminar el mosquito del Zika, Dengue y Chikungunya. #TodoPoTuCalidadDeVida. https://t.co/gtxFsXgIFw"
110,Llego a Arica escapando del temporal en stgo y ahora encuentran al mosquito del Zika
111,Llega a Chile mosquito que transmite el zika https://t.co/WytRXicl9v | https://t.co/oTOX3I9XUR https://t.co/W2CelczNbX
112,Llega a Chile mosquito que transmite el zika https://t.co/1M4qcGiQa9
113,Llega a Chile mosquito que transmite el zika https://t.co/AtV5frPa2t | https://t.co/Qew6MmUPgn https://t.co/C6JghAF68Q
114,Llega a Chile mosquito que transmite el zika https://t.co/OOlpLWly13 | https://t.co/e2tnW1hEBD https://t.co/2avh1MqIXn
115,Llega a Chile mosquito que transmite el zika https://t.co/s7KVKLAJvX | https://t.co/5fuGwutcC3 https://t.co/sbpCfxvxIO
116,Llega a Chile mosquito que transmite el zika https://t.co/efNRMronuE | https://t.co/43jxVu5tsZ https://t.co/PZHhr4YJSq
117,Llega a Chile mosquito que transmite el zika https://t.co/H5yrEc860Y | https://t.co/j6e8kDKcdP https://t.co/7kliSWaXLr
118,Llega a Chile mosquito que transmite el zika
119,Llega a Chile mosquito que transmite el zika https://t.co/jMcs6GpPRI | https://t.co/TK3o86haWz https://t.co/m32a8O0Sjd
120,Llega a Chile mosquito que transmite el zika https://t.co/dpb2UKTY6B
121,Llega a Chile mosquito que transmite el zika https://t.co/FAJtO6kCzi | https://t.co/9pvinTW680 https://t.co/eQn9rgBxND
122,Llega a Chile mosquito que transmite el zika https://t.co/paIdIjnSAI | https://t.co/Pq5au68xKV https://t.co/2eU9wHuu5K
123,"Llego a Chile mosquito del Zika, más en #7AM, con @LibardoBuitrago en terreno @RogerConductor en el @FMConquistador 91.3"
124,Llega a Chile mosquito que transmite el zika https://t.co/3q1j8Xrxhl
125,Llega a Chile mosquito que transmite el zika https://t.co/KnjgnnCECB | https://t.co/6sRfXwlGkK https://t.co/q1P7yAQiVD
126,Y a las 6pm se ponen los mosquitos intensos y supuestamente hay alerta por el zika @MINSA_Panama @CastaliaPascual @tvnnoticias
127,"Si a una embarazada la pica un mosquito infectado con el virus del Zika, el bebé puede nacer Sietecase. https://t.co/vlxlZlqMyR"
128,Educando a las comunidades combatimos la propagación de los mosquitos aedes aegypti. #Zikavirus https://t.co/UqEikpZ7rB
129,"Echan a todos de sus puestos de trabajo pero ojo, cuidemosnos del mosquito matapobres. #AedesAegypti #ZikaVirus  #JuevesIntratable"
130,se me para un mosquito y ya flasheo zika
131,"se me caGO EL VENTILADOR Y NO TENGO AIRE, ME ESTOY MURIENDO Y APARTE HAY MUCHOS MOSQUITOS, ZIKA, DENGUE LOS SIENTO"
132,Ver a un mosquito y tener miedo que te de dengue zika zuki zaki y la concha de la hermana del puto mosquito
133,"Si a Petete Martínez lo pica un mosquito con Zika, se muere el mosquito."
134,"Súmate a la Jornada Nacional Contra El ZIKA, evita los criaderos de mosquito Aedes aegypti. #TodosContraElZika https://t.co/dnbuHHPAqi"
135,ya me pico un mosquito seguro tengo el zika DIOS ME OIGA
136,"Regreso a casa y   OH SORPRESA !   SIN LUZ @ANDEOficial   Por favor 🙏🏻😭🙏🏻😭  Barrio Seminario , mosquitos , dengue , zika !  CALOOOR !"
137,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
138,@QPachow #YaUrgeQue muera tanto mosquito primero chincon no se q y ahora Zika!!! Ya espantalooo @OyeGustavoTello  https://t.co/Po5U2Xp3iW
139,Llega a México virus de Zika transmitido por el mosquito https://t.co/qC6MXJhhTg
140,"Protege a tu familia de los piquetes de mosquito para evitar enfermedades como el zika, dengue y chikungunya. https://t.co/FimiCL2nB1"
141,"Protejan a sus familias de los mosquitos para evitar contagiarnos de dengue, chikungunya y zika. La salud es primero https://t.co/4wMMWmyoMu"
142,Enseñamos a nuestros consumidores a realizar gel anti bacterial y contra los mosquitos para prevenir el Zika. https://t.co/gaHP0KHG4b
143,"Ya me picaron como 82747273 mosquitos, ya teno zica, dengue, chicungunya y todo el pedo"
144,"Ya me picó un mosquito, si me va a dar el virus Zica, que sea pa' rebajar."
145,"Volvemos a lo mismo, el Zika no es un mosquito @elcircodelamega @pamelanoa @FunkyJoeElCirco @cheboricua"
146,Protege a tu familia! Usa repelentes con DEET para + protección contra mosquitos portadores d Zika #ProtégelosconOFF https://t.co/JThFdq5ntr
147,Vas a ser #Mamá en esta época de #Zika?  DEBES #PROTEGERTE de las picaduras de los #BICHOS… https://t.co/GBS3nKtPt3
148,Exhortamos a la población a continuar evitando la formación de criaderos de mosquitos transmisores de la enfermedad. #ZikaVirus
149,"Protége a tu familia de enfermedades como el dengue, zika y chikungunya, ¡elimina criaderos de mosquitos! https://t.co/oqpNKJuahy"
150,Ver a Boca me da ganas de que me pique un mosquito todo lleno de Zika.
151,Salí a fumar al patio y me picaron como mil mosquitos. Ojalá que algunos sean Aedes Aegypti y mañana despierte con Zika o Dengue (?
152,Gracias a @Lachacharaco por compartir mi punto de vista sobre el manejo que se le ha dado al Zika y al mosquito https://t.co/tN1JRoJkGW
153,"Casa a casa cada Galapero conocerá como protegerse y eliminar factores de riesgo para Zika, dengue y chikunguña. @marguymendoza @AMBQuilla"
154,"Ya me picó un mosquito, voy tramitando mi crónica de tener zika en @RevistaPaco"
155,"TODOS A ERRADICAR A LOS MOSQUITOS... El virus Zika, para el que no existe tratamiento ni vacuna -sólo se pueden... https://t.co/TYR4BRfKap"
156,"Voy a comprarme un repelente, porque con la suerte que tengo me va a picar un mosquito con zika y voy a ser el primer caso en Chile"
157,¿Y a qué hora hacen el remix de la canción del Chinkongunya ft. el mosquito del Zika?
158,¡Protege a toda la familia de los mosquitos de manera 100% natural! De venta en @PlazaLama. #Prevención #ZikaVirus https://t.co/GqVnFVM4Fr
159,Llegó a Chile el mosquito que contiene el virus del zika. Ahí tenis OMS.
160,Llegó a Chile mosquito hembra infectada con virus Zika! Para todos los que decían que no estaban las condiciones de Temperatura! Ahí tienen!
161,Llega a Chile mosquito que transmite el zika: Autoridades de Chile confirmaron el hallazgo del mosquito Aedes ... https://t.co/ZWHPoh7nxr
162,Llega a Chile mosquito que transmite el zika https://t.co/i9I1OoUDxB
163,Llega a Chile mosquito que transmite el zika - Autoridades de Chile confirmaron el hallazgo del mosquito Aedes ... https://t.co/ZVtH7eYeFo
164,Viajó a un área afectada por el #zika? Aprenda cómo proteger a su pareja: https://t.co/cUdoZ8geEy https://t.co/2OP4ZlpibB @nycHealthy
165,Protege a niñas y niños de la picadura de mosquito portador de #Zika #Dengue y Chikunguya #EsSuDerecho https://t.co/XueKo8S7Na
166,Enseña a niñas y niños como evitar la propagación de mosquitos transmisores de virus #Zika #Chikungunya y #Dengue https://t.co/OngiEhwjwC
167,Pese a encontrar el mosquito transmisor del virus autoridades de salud confirman que no hay casos de zika en Chile   https://t.co/vV9l8ATddJ
168,Vi a uno de esos mosquitos grandes que parece que te van a coger pero lo maté con Pinol. No vengan con sus pendejadas del zika por aquí.
169,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya. Instalamos cedazos fijos y corredizos para... https://t.co/jDAsCEjvFK"
170,Entras a promo izi? a mira el mosquito del zika me va a picar
171,"Salí a caminar y me tope con un enjambre de mosquitos. Si despues me ven con dengue, zika o chucungunya (o como sea) no se impacten jajaja😂"
172,'Van a seguir falleciendo personas si no tomamos conciencia de la situación.No puede ser que un mosquito nos gane.' Ma. Teresa Baran. #Zica
173,Advierten a estadounidenses no viajar a Venezuela por el virus zika: La infección la transmiten los mosquitos ... https://t.co/G5I1wzfaXW
174,"Debido a que el mosquito Aedes que propaga el Zika se encuentra en todo el mundo, es probable que los brotes se extenderán a otros países."
175,"Protege a tu familia de enfermedades causadas por el mosquito del dengue, chikungunya y zika. https://t.co/VdnPEO5Zdv"
176,"Convocamos a toda la población a eliminar los criaderos de #mosquitos y de esta manera evitar la propagación del dengue, chikungunya y zika."
177,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/xhF1KsulE2
178,Exhortan a protegerse contra el Zika en la Semana Mayor  Por: Diario de Puerto Rico  3/23/2016  La epidemióloga... https://t.co/XMpSG2xHNQ
179,Llamado a protegerse del zika en Semana Santa - https://t.co/4N0w9sqQLv https://t.co/lpo6UiHYmM
180,Exhortan a protegerse contra el Zika en la Semana Mayor https://t.co/9RM9rj8J6e #notiuno
181,Llamado a protegerse del zika en Semana Santa - El Nuevo Día https://t.co/judH7Eq7B8
182,Enseñe a su familia a mantenerse a salvo contra el mosquito que transmite enfermedades como Zika!  https://t.co/F9EqAHpsuQ
183,Voy a tirar raid por que hay un mosquito y con la suerte que tengo de seguro tiene el zika el dengue y la fiebre chicunguña #Todo
184,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/bImqUrAzA8
185,Todos a cuidarnos del mosquito transmisor del zika.. https://t.co/DXJMPDCNql
186,Yo me quedo bobo con la facilidad que salen cosas a causa de un mosquito. #Zika
187,"@ELCOYOTETHESHOW @Mariovipr lo ideal es q las embarazadas eviten a los mosquitos, ya q el zica afecta a los bebes en gestación."
188,"Protége a tu familia de enfermedades como el dengue, zika y chikungunya, ¡elimina criaderos de mosquitos! https://t.co/EHfX7ZqvCF"
189,Ven a vernos y te contamos cómo protegerte (y protegerle) del #ZikaVirus https://t.co/egvaE4EJEQ
190,Ya me dio Zika de tanto mosquito que me picó
191,¿Vas a viajar a #Brasil a los #JJOO? Con nosotros estarás protegido del #Mosquito del #Zika! https://t.co/XEMZ8SeigS
192,"'Si a Gasol le pica un mosquito con Zika solo estaría 3 días con gripe', dice el... - https://t.co/2g3fd5iw6w"
193,¿Vas a #Brasil para los #JJOO #RIO2016? Recuerda las recomendaciones p/protegerte del #ZIKA https://t.co/3uZdr7bnxf https://t.co/Cf54hwwIQf
194,Ya me picaron tantos mosquitos que no se cual es el zika.
195,¿Vas a viajar a América? Conoce cómo prevenir el virus del Zika #zika #salud #virus #mosquito https://t.co/XSGlIqUTJK @saludand
196,"Si a mi mamá la hubiera picado el zancudo del zika cuando estaba en embarazo, yo no habría salido tan cabezón  #MoscaConLosMosquitos"
197,Salve a un abuelito de la picadura del Zika (sin saber que ese mosquito era Zika)  Habemos héroes sin capa  #MoscaConLosMosquitos
198,Ya me picaron los mosquitos. ¿Y el zika?
199,"salí a tomar mates y me acribillaron los mosquitos! Hola dengue, Zika y chikungunya"
200,"Vamos a protegernos contra el Zika, usen ropa de manga larga a pesar del calor infernal que hay - Gobierno Federal-"
201,"Empeze a perseguir un mosquito diciendo ' te tengo que matar, podes tener el zica' y mi abuela grabando. Vamos bien"
202,"¡Alto a los mosquitos!, alto a la propagación de enfermedades #Zika #ZikaVirus https://t.co/17i16kN9nT"
203,follow  frederick_x5 Deteniendo el virus del Zika: el caso de los mosquitos mutantes: un creciente número de cie...  follow  frederick_x5
204,"Protege a tu familia de las enfermedades causadas por el mosquito del dengue, zika y chikungunya. https://t.co/mGwTIMmEz6"
205,"Ya me picó un mosquito, zika ya te siento."
206,"Ejemplo a seguir.   //  Encontrar al mosquito del zika, casa por casa https://t.co/yK126LC72y vía @el_pais"
207,"'Verlo a simple vista (mosquito del zika) es bastante difícil, más importante son las medidas de prevención' Francisco Zamora de @usach"
208,"Ya me está costando creer q el zika,  sea producto de un mosquito..."
209,"Cuida a tu niño de la picada de un mosquito, ya que estos pueden contaminarlos de Zika, Malaria y/o Dengue.... https://t.co/ixZcbwSkEj"
210,"Y me marche victoriosa! No me dio Dengue, Zika ni Chikungunya (o como se escriba) *A los mala sangre no le pican los mosquitos*"
211,hoy me picaron muchos mosquitos y bueno NO QUIERO MORIR DE ZIKA
212,Ya me shupetioh un mosquito solo espero no me contagie el virus zika 😒
213,Infórmate a través de @SSalud_mx sobre los síntomas ante picadura de mosquito infectado por #Zika https://t.co/baPwemKhH3
214,Voy a contraer el dengue y el zica aca lpm lleno de mosquitos esta
215,¿Quien me dice que no crearon el zika?... #MiercolesDeGanarSeguidores  Crean mosquitos para combatir el paludismo https://t.co/n6UAZXtjB3
216,"Proteja a su familia de los mosquitos del zika ,dengue y chikungunya.  Instalamos cedazos fijos y corredizos para... https://t.co/odiUpyqdZg"
217,hoy me picaron 20 mosquitos yo creo que soy una victima del zica o el dengue ya
218,"Cuida a niñas y niños, adultos mayores y mujeres embarazadas de la picadura del mosquito #Zika #Dengue #Chikungunya https://t.co/j6lKfiPtat"
219,Que a mi ex suegra la pico el mosquito del zika...  Y se murió el mosquito :(
220,"Ya me picaron tantas veces los mosquitos que no me sorprendería que me diagnostiquen dengue, zika o chikungunya. 😩"
221,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/2j6e2aWjXT
222,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika. Vía @CDCgov https://t.co/GSEFIa0gzX …"
223,Yo me veo una pica de mosquito y ya rápido pienso que es el zika
224,THELUSONAUTA a spot4US: CNN: AERIAL SPRAYING &amp; MILLIONS OF GMO MOSQUITOS IN FLORIDA TO FIGHT 'ZIKA'... | @scoopit https://t.co/VZpwV55t0j
225,Protege a tus bebes y niños contra el mosquito que transmite el virus del Zika. Disponible en #QuePequeños... https://t.co/XwiZDX2PWB
226,Regreso a clases... ¿con zika? - https://t.co/KGcwomRgO3 https://t.co/362APZmM17 #backtoschool #prevencion #zika #viruszika #mosquitos
227,Últimamente me han dado unas tremendas chingas los mosquitos. En una de esas me voy a contagiar de Zika  *léase 'Zika' con voz tenebrosa*
228,"Ayude a controlar los mosquitos que transmiten los virus del dengue, chikungunya y Zika. Vía @CDCgov https://t.co/GSEFIa0gzX"
229,Convocan a limpieza masiva para eliminar criaderos de mosquitos. #zika - https://t.co/CCof5ZXmeF https://t.co/8gQMKEI9pN
230,Van a usar mosquitos genéticamente modificados para reducir su población y combatir el zika y dengue https://t.co/pKNgEZHdw5
231,"Estarías a favor de utilizar mosquitos modificados genéticamente para combatir zika, chikungunya y dengue en PR?"
232,"Estoy a dos picaduras de mosquito, a que me de Chikungunya, Zika o Dengue. Ya ni se sabe 😭."
233,Todos a protegernos del #zika https://t.co/E5ysc1PMhk
234,Estoy a una picadura de mosquito de contraer Zika y de parecer que me dio varicela a los 23. :(
235,Llamado a protegerse del zika en Semana Santa https://t.co/nx1P84rZhd
236,"¿Vas a viajar en #SemanaSanta? ¿Cómo protegerte del #dengue, #zika y #chikungunya? https://t.co/g8QufeQn7T"
237,Entré a un almacén que estaba cubierto de humo porque la señora estaba quemando trapos para matar mosquitos ZIKA STOP IT LIKE FOR REAL STOP
238,"¡Alto a los mosquitos!, alto a la propagación de enfermedades  #ZikaVirus  https://t.co/2orLfY0VcC https://t.co/gLzZQgGEUv"
239,"Ya me picaron mosquitos, dengue, zika todo por ahi"
240,Voy a salir a la calle en CALZONES con azúcar untado por todo el cuerpo pa que me piquen los mosquitos ME DÉ ZIKA... https://t.co/o7Fh8K4RWV
241,"Voy a dormir en calzones y con la ventana abierta, por si se te ofrece  -yo hablando con el mosquito del zika a ver si me mata de una ves"
242,Gracias a las acciones lideradas por @claama01 prevenimos la propagación del #Zika en #Santander. ¡Frenamos las infecciones del mosquito!
243,Vamos a cuidarnos todas y todos del virus #Zika. Y enseñemos a nuestros hijos e hijas que si el mosquito no te... https://t.co/bGbi6SD6lx
244,"Llego a casa y me reciben las mascotas, primero la gata y luego los mosquitos. Zika ya te siento"
245,Previo a la descacharrización se entregaron folletos informativos para prevenir el mosquito del Zika.
